Kicker,Latent Skill (z),Confidence (σ),Certified Score,Power Rating
A.Vinatieri,0.037806537,0.054526977,-0.05216297,100.0
P.Dawson,0.034658596,0.055141393,-0.056324698,89.67773
S.Janikowski,0.03431703,0.056332096,-0.05863093,83.95761
R.Gould,0.031871896,0.05623597,-0.06091745,78.28639
M.Crosby,0.029941697,0.056785863,-0.063754976,71.248505
M.Bryant,0.027964935,0.056005828,-0.06444468,69.537834
M.Prater,0.029321017,0.056904037,-0.06457064,69.225426
N.Folk,0.025954174,0.057083353,-0.06823336,60.140823
M.Nugent,0.023819258,0.056395717,-0.06923367,57.659782
D.Akers,0.023639835,0.057352293,-0.07099145,53.299988
S.Gostkowski,0.023696532,0.057566207,-0.07128771,52.56518
S.Graham,0.02164975,0.056737192,-0.07196662,50.881283
G.Gano,0.0226252,0.05764161,-0.07248346,49.599377
R.Succop,0.0220496,0.057325456,-0.0725374,49.465584
J.Feely,0.021760294,0.05723239,-0.07267315,49.128887
O.Mare,0.020820871,0.056664832,-0.0726761,49.121567
J.Hanson,0.021666145,0.057230372,-0.072763965,48.903637
R.Lindell,0.02105937,0.05713396,-0.07321166,47.79322
J.Brown,0.02100075,0.057193052,-0.07336778,47.406
J.Kasay,0.01781928,0.05650675,-0.075416856,42.32371
R.Longwell,0.018833166,0.0572302,-0.07559666,41.877743
J.Tucker,0.0202562,0.058383476,-0.07607654,40.68751
G.Zuerlein,0.017756458,0.056948006,-0.07620776,40.36205
N.Rackers,0.01603314,0.056347307,-0.07693991,38.546097
K.Brown,0.0143571235,0.056134004,-0.07826398,35.26202
M.Stover,0.016481481,0.057449438,-0.07831009,35.147667
S.Hauschka,0.014981936,0.05655522,-0.078334175,35.08792
J.Carney,0.014165888,0.05616377,-0.07850433,34.665886
J.Scobee,0.015635883,0.057245165,-0.078818634,33.886326
B.Cundiff,0.013251767,0.05582283,-0.0788559,33.79389
N.Novak,0.012450902,0.05562592,-0.07933186,32.61338
J.Elam,0.014804466,0.05714769,-0.079489216,32.22309
