Kicker,Latent Skill (z),Confidence (σ),Certified Score,Power Rating
T.Bass,0.06720474,0.04571763,-0.001371704,100.0
J.Elliott,0.06647704,0.04712188,-0.0042057782,97.41531
N.Folk,0.05613138,0.043043192,-0.008433405,93.559685
B.Aubrey,0.05419035,0.04184457,-0.008576501,93.42919
J.Sanders,0.06295642,0.048041034,-0.009105131,92.947075
C.Boswell,0.05798268,0.045590945,-0.010403741,91.76274
J.Myers,0.059804644,0.048801973,-0.013398316,89.03168
G.Gano,0.05706347,0.047042444,-0.013500195,88.93877
C.McLaughlin,0.06209687,0.051814627,-0.015625067,87.00086
W.Lutz,0.050245926,0.04441027,-0.016369477,86.32195
J.Tucker,0.05672988,0.04944996,-0.017445061,85.34102
D.Carlson,0.060609013,0.053658985,-0.01987946,83.120834
G.Zuerlein,0.052555136,0.050202567,-0.022748716,80.50407
D.Hopkins,0.060380384,0.055811178,-0.02333638,79.96811
E.Pineiro,0.042846818,0.044137727,-0.023359772,79.94678
Z.Gonzalez,0.04469882,0.045763936,-0.023947082,79.41115
M.Gay,0.050566748,0.0506925,-0.025472,78.02042
J.Slye,0.038880244,0.04317736,-0.02588579,77.643036
R.Patterson,0.042601988,0.04605706,-0.026483603,77.097824
H.Butker,0.050435748,0.05182302,-0.027298782,76.35437
C.York,0.042257786,0.046493746,-0.027482837,76.18652
S.Shrader,0.049640078,0.053428736,-0.030503023,73.43209
J.Karty,0.040114146,0.04709212,-0.030524034,73.41293
J.McAtamney,0.042148728,0.04929232,-0.031789746,72.258606
B.Narveson,0.042358402,0.049795005,-0.032334108,71.76213
K.Fairbairn,0.042509556,0.051647246,-0.034961313,69.36611
M.Wright,0.045758788,0.054310355,-0.035706747,68.68627
J.Moody,0.03951475,0.050752316,-0.036613725,67.85911
C.Santos,0.04498444,0.0555131,-0.038285207,66.33471
Y.Koo,0.032890495,0.04891935,-0.04048853,64.325264
C.Ryland,0.02951122,0.047293264,-0.041428678,63.467846
C.Dicker,0.028524838,0.048009727,-0.043489754,61.588135
B.Grupe,0.017494187,0.041010305,-0.04402127,61.103386
A.Seibert,0.019109586,0.04246264,-0.04458437,60.589836
C.Little,0.033166006,0.05237482,-0.045396224,59.849426
M.Prater,0.031063018,0.050981734,-0.045409583,59.837242
G.Joseph,0.033671938,0.05343381,-0.046478778,58.862133
J.Romo,0.028389098,0.051067233,-0.048211753,57.281647
B.McManus,0.04477784,0.0629981,-0.04971931,55.90675
W.Reichard,0.03408914,0.05602483,-0.049948104,55.698086
A.Carlson,0.017087432,0.0480296,-0.054956973,51.129974
M.Wishnowsky,0.0068117864,0.041403603,-0.055293616,50.822956
J.Bates,0.023129422,0.054645024,-0.05883811,47.59036
L.Havrisik,0.019308195,0.052914914,-0.060064174,46.47218
M.Bryant,-0.003635857,0.03815489,-0.060868192,45.738914
M.Badgley,0.0067261946,0.0454086,-0.0613867,45.266033
C.Barth,0.0013170838,0.042207703,-0.06199447,44.711742
S.Graham,0.0090840105,0.047524195,-0.062202282,44.52222
J.Hanson,0.0058424785,0.047280077,-0.06507764,41.899876
M.Ammendola,-0.00077546644,0.04299447,-0.06526717,41.727028
P.Murray,-0.010374401,0.037521154,-0.06665613,40.460293
N.Freese,0.0032047671,0.04710879,-0.06745841,39.7286
O.Pochman,-0.009707005,0.03920593,-0.068515904,38.764164
E.McPherson,0.012860425,0.05464552,-0.06910785,38.224304
M.Andersen,-0.0026500958,0.04475848,-0.069787815,37.604176
J.Carney,-0.008862217,0.040852375,-0.07014078,37.28227
N.Rose,0.00039289496,0.047247726,-0.0704787,36.974083
B.Cundiff,-0.0124468515,0.03899818,-0.07094412,36.549618
K.Vedvik,0.0022516411,0.04907748,-0.07136458,36.166157
B.Pinion,0.0023331263,0.049297206,-0.07161268,35.93989
N.Sciba,-0.007200711,0.043051515,-0.071777984,35.78913
N.Rackers,0.00082172634,0.048424717,-0.07181535,35.755054
B.Walsh,-0.000405237,0.047730844,-0.0720015,35.58528
