Kicker,Latent Skill (z),Confidence (σ),Certified Score,Power Rating
J.Tucker,0.05609441,0.043561652,-0.009248067,100.0
J.Bates,0.0675098,0.051213488,-0.009310432,99.918686
M.Prater,0.0640193,0.050126284,-0.0111701265,97.49424
T.Bass,0.053791475,0.047351405,-0.017235633,89.58672
C.Dicker,0.053517338,0.049551196,-0.02080946,84.92759
E.Pineiro,0.044141263,0.046266917,-0.025259115,79.12664
J.Romo,0.04604775,0.04875296,-0.027081687,76.75058
C.McLaughlin,0.049382545,0.05375546,-0.03125064,71.31558
N.Folk,0.039409675,0.049098812,-0.03423854,67.4203
B.Grupe,0.03989018,0.049781688,-0.034782354,66.71134
C.Little,0.03704347,0.048155393,-0.035189617,66.180405
K.Fairbairn,0.03937994,0.050048422,-0.03569269,65.52454
H.Butker,0.036077306,0.048306033,-0.036381744,64.62624
J.Sanders,0.038117055,0.050121546,-0.037065264,63.73515
G.Gano,0.040623818,0.051807363,-0.03708723,63.706516
M.Wishnowsky,0.036338415,0.049862567,-0.038455438,61.9228
D.Carlson,0.03426217,0.04982112,-0.04046951,59.297085
J.Myers,0.035284854,0.052494694,-0.043457188,55.402096
J.Slye,0.03310828,0.05168632,-0.044421203,54.145325
Y.Koo,0.023239093,0.04582748,-0.045502126,52.736145
J.Karty,0.026469074,0.048711076,-0.04659754,51.30807
G.Joseph,0.022694657,0.047194894,-0.048097685,49.352352
E.McPherson,0.02394913,0.04862691,-0.048991233,48.187447
C.Boswell,0.024666173,0.049257394,-0.049219914,47.88932
S.Shrader,0.02174943,0.047340974,-0.049262032,47.83441
B.Aubrey,0.026974684,0.051123466,-0.049710512,47.249733
J.Elliott,0.026679438,0.051553667,-0.050651062,46.023552
A.Carlson,0.015784752,0.04505895,-0.051803675,44.520912
C.York,0.021311829,0.050947104,-0.05510883,40.212032
R.Patterson,0.017759386,0.04905794,-0.055827525,39.27508
B.McManus,0.02367238,0.05303521,-0.055880435,39.2061
C.Santos,0.020102983,0.050799526,-0.056096308,38.924675
M.Gay,0.020948665,0.051630802,-0.056497544,38.40159
D.Hopkins,0.017901326,0.049805433,-0.056806825,37.998383
J.McAtamney,0.012092761,0.050078478,-0.06302495,29.891905
W.Reichard,0.014482086,0.05223598,-0.06387188,28.787775
G.Zuerlein,0.01737548,0.05457303,-0.06448406,27.989693
J.Moody,-0.0004919707,0.0462276,-0.06983337,21.01588
A.Seibert,0.0072258837,0.052811943,-0.071992025,18.201675
W.Lutz,0.002227891,0.049838755,-0.07253025,17.500002
M.Wright,0.0027013228,0.051990297,-0.07528412,13.909816
Z.Gonzalez,-0.001460524,0.049661335,-0.07595252,13.038434
C.Ryland,-0.008701481,0.049765028,-0.08334903,3.3957272
B.Narveson,-0.012280874,0.049115244,-0.08595374,0.0
