Kicker,Latent Skill (z),Confidence (σ),Certified Score,Power Rating
B.McManus,0.05524101,0.050639223,-0.020717822,100.0
G.Zuerlein,0.052604347,0.04907381,-0.021006368,99.56148
C.Boswell,0.052759014,0.049549118,-0.021564662,98.713
J.Tucker,0.05197329,0.05008634,-0.023156218,96.29419
N.Folk,0.051751904,0.050458375,-0.02393566,95.10962
G.Gano,0.051461205,0.050359335,-0.024077795,94.89361
M.Prater,0.050297946,0.050053876,-0.024782866,93.82206
J.Myers,0.051247705,0.051067695,-0.025353838,92.95431
C.Santos,0.049775515,0.050577395,-0.026090574,91.83464
K.Fairbairn,0.048455242,0.04971092,-0.026111137,91.80339
D.Hopkins,0.049576093,0.051004637,-0.026930865,90.55759
H.Butker,0.048829257,0.050955683,-0.027604267,89.53417
J.Elliott,0.050139636,0.052132808,-0.028059572,88.84221
J.Sanders,0.045273148,0.050619945,-0.03065677,84.89506
W.Lutz,0.04639389,0.051539335,-0.030915115,84.50243
Y.Koo,0.04420518,0.050686974,-0.03182528,83.11919
M.Crosby,0.046353396,0.05221284,-0.03196587,82.90552
D.Carlson,0.04437014,0.0517306,-0.033225756,80.99078
T.Bass,0.04204599,0.050444663,-0.033621006,80.39009
R.Bullock,0.0446378,0.0530599,-0.034952044,78.36722
J.Slye,0.040150862,0.05025335,-0.035229165,77.94606
M.Gay,0.03935851,0.05087654,-0.036956295,75.32121
C.McLaughlin,0.038160257,0.050903335,-0.038194746,73.43906
A.Seibert,0.03532048,0.05135438,-0.04171109,68.09501
R.Gould,0.039259728,0.054290995,-0.042176764,67.38729
E.Pineiro,0.03485732,0.051480584,-0.04236355,67.10342
G.Joseph,0.0341797,0.051247958,-0.04269224,66.60388
M.Badgley,0.031169107,0.052264005,-0.0472269,59.712234
E.McPherson,0.032234944,0.05338873,-0.04784815,58.76807
R.Succop,0.035959296,0.05657886,-0.048908994,57.15583
M.Wright,0.026817031,0.05147756,-0.05039931,54.89089
B.Maher,0.026617002,0.054153398,-0.054613095,48.486897
M.Ammendola,0.021220414,0.05178363,-0.05645503,45.68757
R.Patterson,0.023874164,0.054400187,-0.057726115,43.75581
C.Dicker,0.01876341,0.05446291,-0.06293096,35.845634
C.York,0.018183824,0.054715045,-0.06388874,34.39002
Z.Gonzalez,0.016567422,0.054397173,-0.06502834,32.65809
T.Vizcaino,0.0120218275,0.052844137,-0.06724438,29.29021
R.Blankenship,0.01195557,0.053366616,-0.06809436,27.99844
J.Gillan,0.009820956,0.053271655,-0.07008653,24.970789
B.Aubrey,0.010992879,0.054833107,-0.07125678,23.19228
A.Carlson,0.010374532,0.0546266,-0.07156537,22.723293
B.Grupe,0.009752237,0.054273907,-0.071658626,22.581562
E.Fry,0.0052880896,0.05164973,-0.07218651,21.779303
C.Ryland,0.009764783,0.05465631,-0.07221968,21.728891
J.Moody,0.01001372,0.055263825,-0.07288202,20.722284
A.Rosas,0.0076421043,0.053805478,-0.073066115,20.4425
S.Ficken,0.004759861,0.052644916,-0.074207515,18.70783
J.Lambo,0.0056276745,0.053322114,-0.0743555,18.482931
S.Gostkowski,0.009938372,0.056312967,-0.07453108,18.21609
