Kicker,Latent Skill (z),Confidence (σ),Certified Score,Power Rating
B.McManus,0.055666726,0.05061427,-0.020254683,100.0
G.Zuerlein,0.052692614,0.049101572,-0.020959742,98.905815
C.Boswell,0.05260916,0.049563967,-0.021736786,97.69991
J.Tucker,0.052214604,0.050099477,-0.022934612,95.841
G.Gano,0.051846586,0.050142534,-0.023367219,95.16964
N.Folk,0.0516231,0.050461344,-0.024068914,94.08067
J.Myers,0.051618505,0.05100096,-0.024882939,92.817375
M.Prater,0.05020423,0.05005827,-0.024883177,92.81701
C.Santos,0.04948922,0.050533332,-0.026310783,90.6015
K.Fairbairn,0.047990784,0.04995109,-0.026935853,89.63145
D.Hopkins,0.049125373,0.051060792,-0.027465813,88.809
H.Butker,0.04891344,0.05109229,-0.027724989,88.40678
J.Elliott,0.04926069,0.05217671,-0.029004373,86.421295
J.Sanders,0.045230426,0.050570443,-0.030625239,83.90586
W.Lutz,0.04629011,0.05151903,-0.030988429,83.342224
M.Crosby,0.046744324,0.05225949,-0.03164491,82.323425
Y.Koo,0.044064365,0.050806206,-0.03214494,81.547424
T.Bass,0.041979104,0.050503105,-0.033775553,79.01686
D.Carlson,0.043656185,0.05174143,-0.03395596,78.73689
R.Bullock,0.044707842,0.05296224,-0.034735516,77.52709
J.Slye,0.039963175,0.050201565,-0.035339173,76.59027
M.Gay,0.038633224,0.05085527,-0.03764968,73.00458
C.McLaughlin,0.03755656,0.050823703,-0.038678996,71.407166
R.Gould,0.039854232,0.054306764,-0.041605916,66.86486
A.Seibert,0.035314307,0.051292986,-0.041625172,66.834984
E.Pineiro,0.035004184,0.05149324,-0.042235672,65.887535
G.Joseph,0.03343085,0.05131114,-0.043535862,63.869766
M.Badgley,0.031920362,0.05241861,-0.046707552,58.947598
R.Succop,0.03645911,0.05632198,-0.048023857,56.90481
E.McPherson,0.030184044,0.054005932,-0.05082485,52.557926
M.Wright,0.025088297,0.0519969,-0.052907057,49.326538
B.Maher,0.027230527,0.054252718,-0.05414855,47.39985
M.Ammendola,0.019827615,0.05206431,-0.05826885,41.005527
R.Patterson,0.022360044,0.054666642,-0.059639923,38.87775
Z.Gonzalez,0.017679803,0.05447959,-0.06403958,32.04989
C.Dicker,0.017437203,0.05442602,-0.064201824,31.7981
C.York,0.016657853,0.054914635,-0.0657141,29.451189
R.Blankenship,0.013423858,0.053614326,-0.06699763,27.459263
T.Vizcaino,0.011036102,0.052895553,-0.068307236,25.42688
J.Gillan,0.008985367,0.05331344,-0.070984796,21.271555
E.Fry,0.006837897,0.05193096,-0.07105854,21.157106
A.Rosas,0.009278355,0.054120135,-0.07190184,19.848381
B.Grupe,0.008792423,0.054111432,-0.072374724,19.114515
B.Aubrey,0.009821373,0.05484676,-0.07244877,18.999605
A.Carlson,0.009264596,0.05474435,-0.07285193,18.373928
C.Ryland,0.008567448,0.054591827,-0.07332029,17.64708
J.Lambo,0.007029919,0.05362368,-0.0734056,17.514687
S.Ficken,0.006259292,0.05311229,-0.07340914,17.509197
S.Gostkowski,0.011739123,0.05679351,-0.07345115,17.444006
J.Moody,0.008917819,0.055295017,-0.07402471,16.553892
S.Castillo,0.0064788875,0.05396909,-0.074474744,15.855476
D.Eberle,0.0028225835,0.052363764,-0.07572306,13.918206
L.Havrisik,0.004679319,0.0536836,-0.075846076,13.727296
M.Wishnowsky,0.0032002588,0.05287194,-0.07610765,13.321356
C.Parkey,0.0065838536,0.05527357,-0.076326504,12.981716
S.Sloman,0.003154678,0.05322018,-0.07667559,12.439973
B.Johnson,0.0035860124,0.053904,-0.07726999,11.517508
R.Santoso,0.0008275381,0.05232688,-0.07766278,10.907938
M.Nugent,0.0041033663,0.05460609,-0.07780577,10.6860285
T.Bertolet,-0.0024980295,0.05039331,-0.07808799,10.248048
C.Naggar,0.00046104848,0.0525179,-0.0783158,9.894509
L.Hajrullahu,-0.00010927237,0.052166607,-0.07835918,9.827192
C.Shudak,-0.00073197606,0.051866956,-0.07853241,9.55835
D.Bailey,0.0063795,0.056654,-0.078601494,9.451141
B.Pinion,-0.001908975,0.051269963,-0.07881392,9.121479
C.Little,-0.000986163,0.052105375,-0.07914423,8.608863
N.Sciba,-0.00041366505,0.052691255,-0.07945055,8.133489
C.Blewitt,0.0006602485,0.05353152,-0.07963703,7.844088
B.Narveson,0.00022104908,0.053454682,-0.07996097,7.3413577
J.Bates,-0.0008119205,0.05295385,-0.08024269,6.904152
J.Brown,-0.0005840304,0.053212322,-0.080402516,6.656122
J.Karty,-0.0012568075,0.052889604,-0.08059122,6.363276
D.Ogunbowale,-0.0043776273,0.05082441,-0.08061425,6.327536
K.Forbath,-0.0039153495,0.05129743,-0.080861494,5.9438305
S.Hauschka,-0.0006629228,0.053490065,-0.08089802,5.887151
T.Russolino,-0.0041381167,0.051260963,-0.081029564,5.683001
W.Reichard,-0.0013314008,0.0532932,-0.0812712,5.3080025
J.Romo,-0.0036387874,0.05213972,-0.08184837,4.412293
J.McAtamney,-0.003382374,0.05281486,-0.08260467,3.2385838
S.Shrader,-0.0047408086,0.053300466,-0.08469151,0.0
